vignette,model,lang,run,label,frame,category,evidence_span
C03,claude5,th,1,correct,post,CONTRAST,"กายหรือจิตใจของบุตร ซึ่งเป็นการเปลี่ยนแปลงจากบทบัญญัติเดิมที่ให้อำนาจ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" โดยไม่มีการระบุข้อห้ามเรื่องความทารุณไว้อย่างชัดเจน"
C03,claude5,th,2,correct,post,ASSERT,ไขเพิ่มเติมที่มีผลใช้บังคับในปัจจุบัน) กำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรตามสมควร เพื่อวัตถุประสงค์ดังนี้: 1. เพื่อว่ากล่าวสั่งสอน 2. เพื่อปรับพฤติกรรม ทั้งนี้
C03,claude5,th,3,correct,post,ASSERT,"เฆี่ยนตี"" บุตรตามบทบัญญัติเดิม) สาระสำคัญ: ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรได้ตามสมควร เพื่อวัตถุประสงค์ 2 ประการ คือ 1. เพื่อว่ากล่าวสั่งสอนบุตร 2. เพื่อปรับพฤติกรร"
C03,gemini25,th,2,repealed,post,ASSERT,"ุตรเพื่อวัตถุประสงค์ใดๆ อีกต่อไป แต่ผู้ใช้อำนาจปกครองยังมีสิทธิ ""อบรมสั่งสอนบุตรตามสมควร"" โดยต้องไม่ใช้วิธีการรุนแรงหรือเป็นการลงโทษทางร่างกาย --- หากอ้างอิงตาม ตัวบท"
C03,gemini31,en,3,repealed,post,ASSERT,"equiring that any such punishment must be carried out in a ""reasonable manner"" (ตามสมควร). Purposes for punishment: Under the Thai text of the provision (เพื่อว่ากล่า"
C03,gemini31,th,1,repealed,post,ASSERT,"พาณิชย์ มาตรา 1567 (2) สาระสำคัญและวัตถุประสงค์: ตามตัวบทกฎหมาย การทำโทษบุตร (ตามสมควร) ทำได้เพื่อวัตถุประสงค์เดียว คือ ""เพื่อว่ากล่าวสั่งสอน"" (ข้อสังเกตทางกฎหมายสำ"
C03,gemini31,th,2,repealed,post,ASSERT,"สาระสำคัญและวัตถุประสงค์: กฎหมายกำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรได้ตามสมควร โดยมีวัตถุประสงค์เพื่อ ""ว่ากล่าวสั่งสอน"" เท่านั้น (ไม่สามารถทำโทษด้วยความรุนแรง"
C03,gemini31,th,3,repealed,post,ASSERT,"สาระสำคัญและวัตถุประสงค์: กฎหมายกำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรได้ตามสมควร โดยมีวัตถุประสงค์เพื่อ ""ว่ากล่าวสั่งสอน"" เท่านั้น (ไม่สามารถทำโทษด้วยความรุนแรง"
C03,gpt4o,th,1,repealed,post,ASSERT,"มาตรา 1567(2) การทำโทษบุตรทำได้เพื่อวัตถุประสงค์ในการ ""ว่ากล่าวตักเตือนและทำโทษเท่าที่สมควรเพื่อการอบรมสั่งสอน"" เท่านั้น"
C03,gpt4o,th,2,repealed,post,ASSERT,"มาตรา 1567(2) การทำโทษบุตรทำได้เพื่อวัตถุประสงค์ในการ ""ว่ากล่าวตักเตือนและทำโทษเท่าที่สมควรเพื่อการอบรมสั่งสอน"" เท่านั้น"
C03,gpt55,th,2,correct,post,ASSERT,พื่อ 1. ว่ากล่าวสั่งสอน และ 2. พัฒนาพฤติกรรมของบุตร ทั้งนี้ต้องเป็นการทำโทษ ตามสมควร และไม่เข้าลักษณะทารุณกรรมหรือความรุนแรงต่อร่างกายหรือจิตใจของบุตร.
C04,claude5,th,1,correct,post,ASSERT,"ิ่มเติมประมวลกฎหมายแพ่งและพาณิชย์) บัญญัติให้ผู้ใช้อำนาจปกครองมีสิทธิ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน แต่ต้องไม่เป็นการกระทำที่ทารุณโหดร้าย หรือเป็นการก่อให้เกิด"
C04,claude5,th,2,correct,post,ASSERT,"ลกฎหมายแพ่งและพาณิชย์ มาตรา 1567(2) ให้สิทธิผู้ใช้อำนาจปกครองทำโทษบุตรได้เพียง ""ตามสมควรเพื่อว่ากล่าวสั่งสอน"" แต่ต้องอยู่ภายใต้ข้อจำกัดตามมาตรา 1567/1 ซึ่งบัญญัติห้ามมิ"
C04,claude5,th,3,correct,post,ASSERT,ิมประมวลกฎหมายแพ่งและพาณิชย์ (ฉบับที่ 23) พ.ศ. 2562) ให้สิทธิบุพการีทำโทษบุตรได้ตามสมควรเพื่อว่ากล่าวสั่งสอนเท่านั้น โดยต้องไม่เป็นการกระทำทารุณโหดร้ายหรือทำให้บุตรได้ร
C04,gemini25,th,1,correct,post,ASSERT,"อเนื่องจนเกิดผลกระทบต่อจิตใจของบุตรนั้น ถือเป็นการกระทำที่เกินกว่าการทำโทษบุตร ""ตามสมควร"" เพื่อว่ากล่าวสั่งสอน"
C04,gemini25,th,2,correct,post,ASSERT,"ทำที่กระทบกระเทือนต่อจิตใจและพัฒนาการของเด็ก ซึ่งเกินกว่าขอบเขตของการทำโทษบุตร ""ตามสมควรเพื่อว่ากล่าวสั่งสอน"" ที่กฎหมายกำหนดไว้"
C04,gemini25,th,3,correct,post,ASSERT,"เกิดผลกระทบต่อจิตใจของบุตรนั้น ถือเป็นการกระทำที่เกินกว่าขอบเขตของการทำโทษบุตร ""ตามสมควร"" และอาจเข้าข่ายเป็นการทารุณกรรมต่อจิตใจตามพระราชบัญญัติคุ้มครองเด็ก พ.ศ. ๒๕๔๖"
C04,gemini31,th,1,correct,post,ASSERT,ุตรหวาดกลัวถือเป็นการใช้ความรุนแรงทางจิตใจ ซึ่งเกินกว่าขอบเขตสิทธิในการทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอนตามที่กฎหมายกำหนดไว้
C04,gemini31,th,2,correct,post,ASSERT,ลกฎหมายแพ่งและพาณิชย์ มาตรา 1567 (2) บัญญัติให้บิดามารดามีสิทธิทำโทษบุตรได้เพียงตามสมควรเพื่อว่ากล่าวสั่งสอนเท่านั้น ซึ่งการด่าทอและข่มขู่อย่างรุนแรงจนบุตรหวาดกลัวถือเป
C04,gemini31,th,3,correct,post,ASSERT,่งและพาณิชย์ มาตรา 1567 (2) มีสาระสำคัญกำหนดให้บิดามารดามีอำนาจทำโทษบุตรได้เพียงตามสมควรเพื่อว่ากล่าวสั่งสอนโดยต้องไม่เป็นการทำร้ายร่างกายหรือจิตใจ ซึ่งการด่าทอและข่มขู
C05,claude45,th,1,correct,pre,GOLD,"ังคับในเดือนมิถุนายน 2567 กำหนดขอบเขตการทำโทษบุตรไว้ด้วยถ้อยคำว่า ""ทำโทษบุตรได้ตามสมควร"" บทบัญญัตินี้เป็นส่วนหนึ่งของอำนาจปกครองของบิดามารดาที่มีเหนือบุตร โดยกฎหมายให"
C05,claude45,th,2,correct,pre,GOLD,"ังคับในเดือนมิถุนายน 2567 กำหนดขอบเขตการทำโทษบุตรไว้ด้วยถ้อยคำว่า ""ทำโทษบุตรได้ตามสมควร"" บทบัญญัตินี้เป็นส่วนหนึ่งของอำนาจปกครองของบิดามารดาที่มีเหนือบุตร โดยกฎหมายให"
C05,claude45,th,3,correct,pre,GOLD,"ังคับในเดือนมิถุนายน 2567 กำหนดขอบเขตการทำโทษบุตรไว้ด้วยถ้อยคำว่า ""ทำโทษบุตรได้ตามสมควร"" บทบัญญัตินี้เป็นส่วนหนึ่งของอำนาจปกครองของบิดามารดาที่มีเหนือบุตร โดยกฎหมายให"
C05,claude5,en,1,correct,pre,GOLD,"""punish the child in a reasonable manner for disciplinary purposes"" (ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน) This was the operative wording limiting parental discipli"
C05,claude5,en,2,correct,pre,GOLD,"the later 2024 amendment that removed this clause): Thai text: > ""(๒) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" Official English rendering: > ""(2) to punish the child in"
C05,claude5,en,3,correct,pre,GOLD,"stricting corporal punishment). Thai text (as then in force): > ""(2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" Standard English translation: > ""(2) to punish the child"
C05,claude5,th,1,correct,pre,GOLD,"ัติที่ใช้บังคับอยู่ในขณะนั้นจึงยังเป็นถ้อยคำเดิม ซึ่งบัญญัติไว้ว่า > ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" โดยบทบัญญัตินี้กำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรไ"
C05,claude5,th,2,correct,pre,GOLD,"า ผู้ใช้อำนาจปกครองมีสิทธิ > ""(2) ทำโทษบุตรเพื่อว่ากล่าวสั่งสอนหรือปรับพฤติกรรมตามสมควร โดยคำนึงถึงอายุและวุฒิภาวะของบุตร ทั้งนี้ ต้องไม่เป็นการกระทำทารุณโหดร้ายหรือทำ"
C05,claude5,th,3,correct,pre,GOLD,"ครองบุตรของผู้ใช้อำนาจปกครอง กำหนดขอบเขตการทำโทษบุตรไว้ด้วยถ้อยคำว่า ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" โดยบทบัญญัตินี้เป็นส่วนหนึ่งของมาตรา 1567 ที่ระบุถึงอำนาจ"
C05,gemini25,th,1,correct,pre,GOLD,"ังคับ: ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1567(2) ถ้อยคำที่ระบุไว้: > ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญ: ถ้อยคำดังกล่าวเป็นการกำหนดขอบเขตของการทำโทษบุต"
C05,gemini25,th,2,correct,pre,GOLD,"คับ: ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1567(2) ถ้อยคำตามบทบัญญัติ: > ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" --- สาระสำคัญของบทบัญญัติ: บทบัญญัติดังกล่าวให้สิทธิแก่"
C05,gemini25,th,3,correct,pre,GOLD,"คับ: ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1567(2) ถ้อยคำตามบทบัญญัติ: > ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ: ถ้อยคำดังกล่าวได้กำหนดขอบเขตและวั"
C05,gemini31,en,1,correct,pre,GOLD,"gal precision, the original Thai wording in force at that time was: > ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" (tam-tot but tam som-kuan puea wa-glao sang-son). (Note:"
C05,gemini31,en,2,correct,pre,GOLD,"e manner for disciplinary purposes"" The original Thai wording is: > ""ทำโทษบุตรตามสมควรเพื่อตักเตือนสั่งสอน"" (Tham thot but tam somkhuan phuea tak-tuean sang-son) Not"
C05,gemini31,en,3,correct,pre,GOLD,"he Thai language, the exact legal limit is defined by the Thai phrase ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"". In the standard English translation provided by legal a"
C05,gemini31,th,1,correct,pre,GOLD,"อยู่ในขณะนั้น ได้กำหนดขอบเขตการทำโทษบุตรไว้ด้วยถ้อยคำดังต่อไปนี้ครับ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" บทบัญญัติที่ใช้บังคับ: ประมวลกฎหมายแพ่งและพาณิชย์ บรรพ 5"
C05,gemini31,th,2,correct,pre,GOLD,"อยู่ในขณะนั้น ได้กำหนดขอบเขตการทำโทษบุตรไว้ด้วยถ้อยคำดังต่อไปนี้ครับ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" บทบัญญัติที่ใช้บังคับ: ประมวลกฎหมายแพ่งและพาณิชย์ บรรพ 5"
C05,gemini31,th,3,correct,pre,GOLD,"ายแพ่งและพาณิชย์ มาตรา 1567 กำหนดว่า ""ผู้ใช้อำนาจปกครองมีสิทธิ... (2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ: กฎหมายให้สิทธิแก่ผู้ใช้อำนาจปกครอง"
C05,gpt4o,th,1,refusal,pre,GOLD,"ึงอำนาจหน้าที่ของบิดามารดาในการปกครองบุตร โดยใน (2) ระบุว่า: > ""(2) ทำโทษบุตรได้ตามสมควรเพื่อว่ากล่าวสั่งสอน"" หากมีการแก้ไขเพิ่มเติมในอนาคต ขอแนะนำให้ตรวจสอบข้อมูลจากแ"
C05,gpt4o,th,2,correct,pre,GOLD,"่ของบิดามารดาในการปกครองบุตร โดยใน (2) ระบุว่า: ""ว่ากล่าวตักเตือนและทำโทษบุตรได้ตามสมควรแก่เหตุ"" หากต้องการข้อมูลที่แน่นอนเกี่ยวกับการแก้ไขเพิ่มเติมในปี 2567 ขอแนะนำให"
C05,gpt4o,th,3,ambiguous,pre,GOLD,"งอำนาจหน้าที่ของบิดามารดาในการปกครองบุตร โดยใน (2) ระบุว่า: ""(2) ทำโทษบุตรได้เท่าที่สมควรแก่เหตุ"" หากต้องการข้อมูลที่แน่นอนเกี่ยวกับกฎหมายที่ใช้บังคับในเดือนมิถุนายน 25"
C05,gpt55,th,1,correct,pre,GOLD,7(2) ที่ใช้บังคับอยู่ในขณะนั้น บัญญัติว่า ผู้ใช้อำนาจปกครองมีสิทธิ > “ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน” สาระสำคัญคือ การทำโทษบุตรต้องอยู่ในขอบเขต “ตามสมควร” และม
C05,gpt55,th,2,correct,pre,GOLD,งและพาณิชย์ มาตรา 1567(2) ซึ่งกำหนดสิทธิของผู้ใช้อำนาจปกครองไว้ว่า > “ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน” สาระสำคัญคือ ในขณะนั้นกฎหมายให้อำนาจผู้ใช้อำนาจปกครองทำโท
C05,gpt55,th,3,correct,pre,GOLD,อยู่ในขณะนั้น บัญญัติสิทธิของผู้ใช้อำนาจปกครองในการทำโทษบุตรไว้ว่า > “ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน” สาระสำคัญคือ กฎหมายในขณะนั้นให้ผู้ใช้อำนาจปกครองมีสิทธิทำ
C05,qwen3,th,1,ambiguous,pre,GOLD,"ั้น ได้กำหนดขอบเขตการทำโทษบุตรไว้ด้วยถ้อยคำว่า: > ""ผู้ปกครองอาจลงโทษผู้เยาว์ได้เท่าที่สมควร เพื่อการสั่งสอนหรือวินัย โดยไม่กระทบต่อร่างกายหรือจิตใจอย่างรุนแรง"" มาตราดังกล"
C06,claude45,th,1,correct,none,ASSERT,"""บิดามารดามีอำนาจและหน้าที่ในการอบรมเลี้ยงดูบุตร ในการนี้ท่านมีอำนาจลงโทษบุตรได้ตามสมควร"" ## สาระสำคัญของบทบัญญัติ บิดามารดามีอำนาจในการ: 1. อบรมเลี้ยงดูบุตร 2. ลงโทษ"
C06,claude45,th,3,correct,none,ASSERT,จจุบัน บัญญัติว่า บิดามารดามีอำนาจและหน้าที่ในการอบรมเลี้ยงดูบุตร รวมถึงการลงโทษตามสมควร โดยต้องคำนึงถึงประโยชน์สูงสุดของเด็กและไม่ใช้ความรุนแรง การพิจารณากรณีนี้: - ก
C06,claude5,th,1,correct,none,ASSERT,"ฉบับที่ 24) พ.ศ. 2568 ให้ผู้ใช้อำนาจปกครองมีสิทธิ ""ทำโทษบุตรเพื่อว่ากล่าวสั่งสอนตามสมควร"" โดยมีการกำหนดขอบเขตเพิ่มเติมว่าการทำโทษนั้นต้องไม่เป็นการกระทำทารุณกรรมหรือทำร"
C06,claude5,th,2,correct,none,CONTRAST,"่างกายหรือจิตใจของบุตร ทั้งนี้เป็นการแก้ไขจากบทบัญญัติเดิมที่ให้สิทธิ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" โดยไม่ได้กำหนดข้อห้ามไว้อย่างชัดเจน เพื่อให้สอดคล้องกับหลั"
C06,claude5,th,3,correct,none,ASSERT,"มาตรา 1567/1 สาระสำคัญ: ผู้ใช้อำนาจปกครองมีสิทธิ ""ทำโทษบุตรเพื่อว่ากล่าวสั่งสอนตามสมควร"" แต่ต้องไม่เป็นการกระทำทารุณโหดร้าย หรือเป็นการทำร้ายร่างกายหรือจิตใจของบุตร โด"
C06,gemini25,th,2,correct,none,ASSERT,"รา 1567(2) ซึ่งบัญญัติให้ผู้ใช้อำนาจปกครอง (ในกรณีนี้คือบิดา) มีสิทธิ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญและการปรับใช้กับกรณีนี้: 1. วัตถุประสงค์ (เพื่"
C06,gemini31,th,1,correct,none,ASSERT,กฎหมายแพ่งและพาณิชย์ มาตรา 1567 (2) สาระสำคัญ: ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน (ซึ่งการงดเงินค่าขนมและตักเตือนด้วยวาจา ถือเป็นการทำโทษตามส
C06,gemini31,th,2,correct,none,ASSERT,กฎหมายแพ่งและพาณิชย์ มาตรา 1567 (2) สาระสำคัญ: ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน (การงดเงินค่าขนมและตักเตือนด้วยวาจา ถือเป็นการทำโทษตามสมควร
C06,gemini31,th,3,correct,none,ASSERT,ฎหมายแพ่งและพาณิชย์ มาตรา 1567 (2) สาระสำคัญ: ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอนและปรับเปลี่ยนพฤติกรรม โดยต้องไม่เป็นการทำร้ายร่างกายหรือจิต
