probe_id,group,statute,section,old_rule,new_rule,effective_date,instrument,gazette,evidence_old,strength
D1,D,คุ้มครองแรงงาน,ม.41 ว.1,98 วัน,120 วัน,2025-12-07,พรบ คุ้มครองแรงงาน ฉบับ 9 พศ 2568,142/74ก/41,ฉบับ 7 พศ 2562 ม.7 เก้าสิบแปดวัน,strong
D2,D,คุ้มครองแรงงาน,ม.59,45 วัน,60 วัน,2025-12-07,พรบ คุ้มครองแรงงาน ฉบับ 9 พศ 2568,142/74ก/41,ฉบับ 7 พศ 2562 ม.10 สี่สิบห้าวัน,strong
D3,D,คุ้มครองแรงงาน,ม.41 ว.4,ไม่มีบทบัญญัติ,ลาต่อเนื่องเลี้ยงดูบุตรไม่เกิน 15 วัน กรณีบุตรเจ็บป่วยเสี่ยงโรคแทรกซ้อน ผิดปกติ หรือพิการ ต้องมีใบรับรองแพทย์แผนปัจจุบัน,2025-12-07,พรบ คุ้มครองแรงงาน ฉบับ 9 พศ 2568,142/74ก/41,ม.5 ให้เพิ่มความ,strong
D4,D,คุ้มครองแรงงาน,ม.41/1,ไม่มีบทบัญญัติ,ลาช่วยเหลือคู่สมรสคลอดบุตรไม่เกิน 15 วัน ใช้สิทธิภายใน 90 วันนับแต่วันคลอด,2025-12-07,พรบ คุ้มครองแรงงาน ฉบับ 9 พศ 2568,142/74ก/41,ม.6 ให้เพิ่มความ,strong
D5,D,คุ้มครองแรงงาน,ม.59/1,ไม่มีบทบัญญัติ,ค่าจ้างวันลาตาม ม.41 ว.4 อัตราร้อยละ 50,2025-12-07,พรบ คุ้มครองแรงงาน ฉบับ 9 พศ 2568,142/74ก/41,ม.8 ให้เพิ่มความ,strong
D6,D,คุ้มครองแรงงาน,ม.59/2,ไม่มีบทบัญญัติ,ค่าจ้างวันลาตาม ม.41/1 เต็มจำนวนแต่ไม่เกิน 15 วัน,2025-12-07,พรบ คุ้มครองแรงงาน ฉบับ 9 พศ 2568,142/74ก/41,ม.8 ให้เพิ่มความ,strong
D7,D,คุ้มครองแรงงาน,ม.4/1,ไม่มีบทบัญญัติ,หน่วยงานรัฐจ้างเหมาบริการบุคคลธรรมดา ต้องให้สิทธิไม่น้อยกว่ากฎหมายคุ้มครองแรงงาน ข้อพิพาทอยู่ในเขตอำนาจศาลแรงงาน,2025-12-07,พรบ คุ้มครองแรงงาน ฉบับ 9 พศ 2568,142/74ก/41,ม.3 ให้เพิ่มความ,strong
X1,X,คุ้มครองแรงงาน,ม.9,ร้อยละ 15 ต่อปี,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.3,136/43ก/21,control,strong
X2,X,คุ้มครองแรงงาน,ม.34,ปีละไม่น้อยกว่า 3 วันทำงาน,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.6,136/43ก/21,control,strong
X3,X,คุ้มครองแรงงาน,ม.57/1,ไม่เกิน 3 วันทำงานต่อปี,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.9,136/43ก/21,control,strong
X4,X,คุ้มครองแรงงาน,ม.75,ไม่น้อยกว่าร้อยละ 75,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.12,136/43ก/21,control,strong
X5,X,คุ้มครองแรงงาน,ม.118(5),300 วัน,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.14,136/43ก/21,control,strong
X6,D,คุ้มครองแรงงาน,ม.118(6),ไม่มีบทบัญญัติ (20 ปีขึ้นไปได้ 300 วันตาม ม.118(5) เดิม),400 วัน,2019-05-05,ฉบับ 7 พศ 2562 ม.15,136/43ก/21,ฉบับ 7 พศ 2562 ม.15 เพิ่ม (6),strong
X7,X,คุ้มครองแรงงาน,ม.70 ว.ท้าย,ภายใน 3 วันนับแต่วันเลิกจ้าง,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.11,136/43ก/21,control,strong
X8,X,คุ้มครองแรงงาน,ม.120 ว.1,ปิดประกาศล่วงหน้าไม่น้อยกว่า 30 วัน,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.16,136/43ก/21,control,strong
X9,X,คุ้มครองแรงงาน,ม.13,ต้องได้รับความยินยอมจากลูกจ้าง,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.4,136/43ก/21,control,strong
X10,X,คุ้มครองแรงงาน,ม.151 ว.2,จำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20000 บาท หรือทั้งจำทั้งปรับ,ไม่เปลี่ยน,,ฉบับ 7 พศ 2562 ม.24,136/43ก/21,control,strong
